threshold_C,precision,recall,f1
47.04,0.6640173410404624,0.9387129724208376,0.777824798984342
47.05,0.6642547033285094,0.9376915219611849,0.7776365946632783
47.06,0.6644927536231884,0.9366700715015321,0.7774480712166171
47.09,0.6659404502541757,0.9366700715015321,0.7784380305602716
47.12,0.6664244186046512,0.9366700715015321,0.7787685774946922
47.15,0.6661818181818182,0.9356486210418795,0.778249787595582
47.16,0.6664238892935178,0.9346271705822268,0.7780612244897959
47.18,0.6666666666666666,0.933605720122574,0.777872340425532
47.19,0.6669101533966398,0.9325842696629213,0.7776831345826235
47.21,0.6666666666666666,0.9315628192032687,0.7771623348956114
47.23,0.6664228237015362,0.9305413687436159,0.7766410912190963
47.24,0.6669106881405563,0.9305413687436159,0.7769722814498935
47.25,0.6661775495231108,0.9274770173646578,0.7754056362083689
47.26,0.6659324522760646,0.9264555669050051,0.7748825288338316
47.28,0.6664217487141807,0.9264555669050051,0.7752136752136752
47.29,0.6669117647058823,0.9264555669050051,0.7755451047456178
47.33,0.6666666666666666,0.9254341164453525,0.7750213857998289
47.35,0.665929203539823,0.9223697650663942,0.7734475374732334
47.37,0.666420664206642,0.9223697650663942,0.7737789203084833
47.38,0.6666666666666666,0.9213483146067416,0.7735849056603773
47.4,0.6664201183431953,0.9203268641470889,0.773058773058773
47.41,0.6669133974833457,0.9203268641470889,0.7733905579399142
47.42,0.6666666666666666,0.9193054136874361,0.77286389008158
47.43,0.6671608598962194,0.9193054136874361,0.7731958762886598
47.45,0.6686478454680534,0.9193054136874361,0.7741935483870968
47.46,0.6691449814126395,0.9193054136874361,0.774526678141136
47.47,0.6696428571428571,0.9193054136874361,0.7748600947051227
47.48,0.6711409395973155,0.9193054136874361,0.7758620689655172
47.49,0.6716417910447762,0.9193054136874361,0.7761966364812419
47.55,0.671898355754858,0.9182839632277835,0.7760034527406129
47.56,0.6724008975317876,0.9182839632277835,0.7763385146804835
47.57,0.6721556886227545,0.9172625127681308,0.7758099352051837
47.58,0.6726591760299625,0.9172625127681308,0.7761452031114953
47.59,0.6724137931034483,0.916241062308478,0.7756160830090792
47.6,0.6726726726726727,0.9152196118488254,0.7754218952834272
47.65,0.673438675696012,0.9141981613891726,0.7755632582322358
47.66,0.6739457831325302,0.9141981613891726,0.7758994364976161
47.7,0.6737000753579503,0.9131767109295199,0.7753686036426712
47.72,0.6729607250755287,0.9101123595505618,0.7737733391228832
47.73,0.6732223903177005,0.9090909090909091,0.7735767057800956
47.74,0.6729750189250567,0.9080694586312564,0.7730434782608696
47.75,0.6734848484848485,0.9080694586312564,0.7733797303175294
47.76,0.6739954510993177,0.9080694586312564,0.7737162750217581
47.77,0.6745068285280729,0.9080694586312564,0.7740531127557685
47.8,0.6742596810933941,0.9070480081716037,0.7735191637630662
47.81,0.6747720364741642,0.9070480081716037,0.7738562091503268
47.83,0.6752851711026616,0.9070480081716037,0.7741935483870968
47.84,0.6757990867579908,0.9070480081716037,0.7745311818578281
47.87,0.6755521706016756,0.906026557711951,0.7739965095986038
47.88,0.6753048780487805,0.9050051072522982,0.7734613705805325
47.89,0.6758199847444699,0.9050051072522982,0.7737991266375546
