threshold_C,precision,recall,f1,accuracy,tp,fp,fn,tn
47.48,0.6711409395973155,0.9193054136874361,0.7758620689655172,0.6673064619321817,900,441,79,143
47.49,0.6716417910447762,0.9193054136874361,0.7761966364812419,0.6679462571976967,900,440,79,144
47.55,0.671898355754858,0.9182839632277835,0.7760034527406129,0.6679462571976967,899,439,80,145
47.56,0.6724008975317876,0.9182839632277835,0.7763385146804835,0.6685860524632118,899,438,80,146
47.57,0.6721556886227545,0.9172625127681308,0.7758099352051837,0.6679462571976967,898,438,81,146
47.58,0.6726591760299625,0.9172625127681308,0.7761452031114953,0.6685860524632118,898,437,81,147
47.59,0.6724137931034483,0.916241062308478,0.7756160830090792,0.6679462571976967,897,437,82,147
47.6,0.6726726726726727,0.9152196118488254,0.7754218952834272,0.6679462571976967,896,436,83,148
47.65,0.673438675696012,0.9141981613891726,0.7755632582322358,0.6685860524632118,895,434,84,150
47.66,0.6739457831325302,0.9141981613891726,0.7758994364976161,0.6692258477287268,895,433,84,151
47.7,0.6737000753579503,0.9131767109295199,0.7753686036426712,0.6685860524632118,894,433,85,151
47.72,0.6729607250755287,0.9101123595505618,0.7737733391228832,0.6666666666666666,891,433,88,151
47.73,0.6732223903177005,0.9090909090909091,0.7735767057800956,0.6666666666666666,890,432,89,152
47.74,0.6729750189250567,0.9080694586312564,0.7730434782608696,0.6660268714011516,889,432,90,152
47.75,0.6734848484848485,0.9080694586312564,0.7733797303175294,0.6666666666666666,889,431,90,153
47.76,0.6739954510993177,0.9080694586312564,0.7737162750217581,0.6673064619321817,889,430,90,154
47.77,0.6745068285280729,0.9080694586312564,0.7740531127557685,0.6679462571976967,889,429,90,155
47.8,0.6742596810933941,0.9070480081716037,0.7735191637630662,0.6673064619321817,888,429,91,155
47.81,0.6747720364741642,0.9070480081716037,0.7738562091503268,0.6679462571976967,888,428,91,156
47.83,0.6752851711026616,0.9070480081716037,0.7741935483870968,0.6685860524632118,888,427,91,157
47.84,0.6757990867579908,0.9070480081716037,0.7745311818578281,0.6692258477287268,888,426,91,158
47.87,0.6755521706016756,0.906026557711951,0.7739965095986038,0.6685860524632118,887,426,92,158
47.88,0.6753048780487805,0.9050051072522982,0.7734613705805325,0.6679462571976967,886,426,93,158
47.89,0.6758199847444699,0.9050051072522982,0.7737991266375546,0.6685860524632118,886,425,93,159
47.9,0.6753246753246753,0.9029622063329928,0.7727272727272727,0.6673064619321817,884,425,95,159
47.92,0.6750764525993884,0.9019407558733401,0.7721906427634455,0.6666666666666666,883,425,96,159
47.94,0.6761102603369066,0.9019407558733401,0.7728665207877461,0.6679462571976967,883,423,96,161
47.96,0.6763803680981595,0.9009193054136875,0.7726675427069645,0.6679462571976967,882,422,97,162
47.97,0.6774441878367975,0.898876404494382,0.7726075504828797,0.6685860524632118,880,419,99,165
47.98,0.6779661016949152,0.898876404494382,0.7729468599033816,0.6692258477287268,880,418,99,166
48.0,0.6777178103315343,0.8978549540347294,0.7724077328646749,0.6685860524632118,879,418,100,166
