threshold_ddg_kcal_mol,precision,recall,f1,accuracy,tp,fp,fn,tn
0.9373886657829239,0.3118811881188119,0.75,0.4405594405594405,0.5216741405082214,126,278,42,223
0.9355472688753536,0.31265508684863524,0.75,0.4413309982486865,0.523168908819133,126,277,42,224
0.9350735394773535,0.31343283582089554,0.75,0.4421052631578948,0.5246636771300448,126,276,42,225
0.9338704860285949,0.3117206982543641,0.7440476190476191,0.4393673110720563,0.5231689088191331,125,276,43,225
0.9319327945335915,0.3125,0.7440476190476191,0.44014084507042256,0.5246636771300448,125,275,43,226
0.9318170652362238,0.3132832080200501,0.7440476190476191,0.4409171075837742,0.5261584454409567,125,274,43,227
0.928245218226063,0.31155778894472363,0.7380952380952381,0.4381625441696113,0.5246636771300448,124,274,44,227
0.9261272128151093,0.3123425692695214,0.7380952380952381,0.4389380530973452,0.5261584454409567,124,273,44,228
0.9180676670213116,0.31313131313131315,0.7380952380952381,0.4397163120567376,0.5276532137518685,124,272,44,229
0.9175615029846377,0.3139240506329114,0.7380952380952381,0.4404973357015986,0.5291479820627802,124,271,44,230
0.9175203690196163,0.31218274111675126,0.7321428571428571,0.43772241992882566,0.5276532137518686,123,271,45,230
0.9158614860105336,0.31297709923664124,0.7321428571428571,0.4385026737967914,0.5291479820627804,123,270,45,231
0.9134233101127123,0.3137755102040816,0.7321428571428571,0.4392857142857143,0.5306427503736921,123,269,45,232
0.9131197364220073,0.3145780051150895,0.7321428571428571,0.4400715563506261,0.5321375186846039,123,268,45,233
0.906874222304589,0.3153846153846154,0.7321428571428571,0.4408602150537635,0.5336322869955157,123,267,45,234
0.9047764471073644,0.3161953727506427,0.7321428571428571,0.44165170556552963,0.5351270553064276,123,266,45,235
0.903812477235547,0.31443298969072164,0.7261904761904762,0.4388489208633094,0.5336322869955157,122,266,46,235
0.9010509137340167,0.31266149870801035,0.7202380952380952,0.4360360360360361,0.5321375186846039,121,266,47,235
0.8945797859949375,0.3134715025906736,0.7202380952380952,0.43682310469314084,0.5336322869955157,121,265,47,236
0.8937850105256725,0.3116883116883117,0.7142857142857143,0.43399638336347196,0.5321375186846039,120,265,48,236
0.8889696141169124,0.3125,0.7142857142857143,0.43478260869565216,0.5336322869955157,120,264,48,237
0.8888170762132729,0.3133159268929504,0.7142857142857143,0.43557168784029043,0.5351270553064275,120,263,48,238
0.8853062255746048,0.31413612565445026,0.7142857142857143,0.4363636363636364,0.5366218236173393,120,262,48,239
0.8842940918708767,0.31496062992125984,0.7142857142857143,0.4371584699453552,0.5381165919282511,120,261,48,240
0.8770832875353527,0.3157894736842105,0.7142857142857143,0.437956204379562,0.5396113602391629,120,260,48,241
0.8740450750267797,0.316622691292876,0.7142857142857143,0.43875685557586835,0.5411061285500748,120,259,48,242
0.8715698299240867,0.31746031746031744,0.7142857142857143,0.43956043956043955,0.5426008968609864,120,258,48,243
0.8703984646366086,0.3183023872679045,0.7142857142857143,0.44036697247706413,0.5440956651718983,120,257,48,244
0.8663422412415255,0.3191489361702128,0.7142857142857143,0.4411764705882353,0.5455904334828101,120,256,48,245
0.8634968657299525,0.32,0.7142857142857143,0.44198895027624313,0.547085201793722,120,255,48,246
0.8530598516998024,0.32085561497326204,0.7142857142857143,0.44280442804428044,0.5485799701046338,120,254,48,247
0.8509652343797661,0.32171581769436997,0.7142857142857143,0.44362292051756014,0.5500747384155455,120,253,48,248
0.8458150319679568,0.3225806451612903,0.7142857142857143,0.4444444444444444,0.5515695067264574,120,252,48,249
0.8414038695426865,0.32075471698113206,0.7083333333333334,0.44155844155844154,0.5500747384155455,119,252,49,249
0.8360283728758912,0.3216216216216216,0.7083333333333334,0.44237918215613387,0.5515695067264574,119,251,49,250
0.8353549964664747,0.3224932249322493,0.7083333333333334,0.44320297951582865,0.5530642750373692,119,250,49,251
0.8330252978410341,0.3233695652173913,0.7083333333333334,0.44402985074626866,0.554559043348281,119,249,49,252
0.8325088990848856,0.3242506811989101,0.7083333333333334,0.4448598130841122,0.5560538116591929,119,248,49,253
0.8317446813939472,0.3251366120218579,0.7083333333333334,0.4456928838951311,0.5575485799701047,119,247,49,254
0.8298858737819051,0.32602739726027397,0.7083333333333334,0.44652908067542213,0.5590433482810164,119,246,49,255
0.8283657940295148,0.3269230769230769,0.7083333333333334,0.4473684210526316,0.5605381165919282,119,245,49,256
0.8266095622152446,0.3278236914600551,0.7083333333333334,0.44821092278719393,0.5620328849028401,119,244,49,257
0.8263955642460936,0.3287292817679558,0.7083333333333334,0.4490566037735849,0.5635276532137519,119,243,49,258
0.8238392391294423,0.3268698060941828,0.7023809523809523,0.4461247637051039,0.5620328849028401,118,243,50,258
0.8149172727690196,0.3277777777777778,0.7023809523809523,0.446969696969697,0.5635276532137519,118,242,50,259
0.8074807571790316,0.3286908077994429,0.7023809523809523,0.4478178368121442,0.5650224215246636,118,241,50,260
0.8061490541241291,0.329608938547486,0.7023809523809523,0.4486692015209125,0.5665171898355755,118,240,50,261
0.8050948756041733,0.3277310924369748,0.6964285714285714,0.44571428571428573,0.5650224215246636,117,240,51,261
0.802525833462615,0.32865168539325845,0.6964285714285714,0.4465648854961833,0.5665171898355755,117,239,51,262
0.801971043327668,0.3267605633802817,0.6904761904761905,0.4435946462715105,0.5650224215246636,116,239,52,262
0.801164565438606,0.327683615819209,0.6904761904761905,0.44444444444444436,0.5665171898355755,116,238,52,263
0.7995478936879211,0.3286118980169972,0.6904761904761905,0.4452975047984645,0.5680119581464873,116,237,52,264
0.798407966774203,0.32954545454545453,0.6904761904761905,0.44615384615384607,0.5695067264573991,116,236,52,265
0.7982434144960656,0.32763532763532766,0.6845238095238095,0.4431599229287091,0.5680119581464873,115,236,53,265
0.7935278495390824,0.32857142857142857,0.6845238095238095,0.44401544401544407,0.5695067264573991,115,235,53,266
0.791748360389426,0.32951289398280803,0.6845238095238095,0.4448742746615087,0.5710014947683109,115,234,53,267
0.7905048603158206,0.3275862068965517,0.6785714285714286,0.441860465116279,0.5695067264573991,114,234,54,267
0.7892358777071288,0.3285302593659942,0.6785714285714286,0.44271844660194176,0.5710014947683109,114,233,54,268
0.7788636250494269,0.32947976878612717,0.6785714285714286,0.443579766536965,0.5724962630792227,114,232,54,269
0.7699479523789253,0.33043478260869563,0.6785714285714286,0.44444444444444436,0.5739910313901345,114,231,54,270
0.769671690702524,0.3313953488372093,0.6785714285714286,0.4453125,0.5754857997010463,114,230,54,271
0.7694868989325198,0.3323615160349854,0.6785714285714286,0.44618395303326813,0.5769805680119582,114,229,54,272
0.7669491933476635,0.3333333333333333,0.6785714285714286,0.4470588235294118,0.5784753363228698,114,228,54,273
0.7662872849029584,0.3313782991202346,0.6726190476190477,0.444007858546169,0.576980568011958,113,228,55,273
